gene,UC signature,Mendiratta signature
AIM1,0.012144771046864193,0.0
AIM1L,-0.0013749849938439031,0.0
AIM2,-0.00042742875703719795,0.0
AIMP1,0.007957429787096394,0.0
AIMP2,-0.003553146194905534,0.0
AIP,-0.016312405874154095,0.0
AIPL1,-0.0014494274469045436,0.0
AIRE,0.0013916209432886354,0.0
AJAP1,0.00190086096518842,0.0
AK1,-0.001983631229620225,0.0
AK2,0.00801486751156629,0.0
AK4,0.017970630506385237,0.0
AK5,-0.0021935547509212123,0.0
AKAP1,0.016649446443345785,0.047023999999999996
AKAP10,0.0016381219672791394,0.0
AKAP11,0.0013935533347400107,0.0
AKAP12,0.005251096431730722,0.0
AKAP13,0.0008900632190467065,0.0
AKAP17A,-0.0005642098374391807,0.0
AKAP3,-0.002169980063335377,0.0
AKAP4,0.00189807866839671,0.0
AKAP5,0.0010844507303168131,0.0
AKAP6,0.0005541300845736174,0.0
AKAP7,0.007719200695954461,0.0
AKAP8,0.004419327269902777,0.0
AKAP8L,-0.0011085412500458577,0.0
AKAP9,0.003266749329537119,0.0
AKIRIN1,0.0033059120661140104,0.0
AKR1A1,0.01921098840305146,0.0
AKR1B1,-0.004830677883488969,0.0
AKR1B10,0.0029680103190278164,0.0
AKR1C1,-0.007942024978764586,0.0
AKR1C2,-0.006139951587559424,0.0
AKR1C3,-0.041933638507208056,0.0
AKR1C4,-0.002538584900090589,0.0
AKR1D1,0.0026219890155019234,0.0
AKR7A2,-0.013670677513475043,0.0
AKR7A3,-0.0043738840856021016,0.0
AKT1,0.0002480600690470341,0.0
AKT2,-0.00168660396873784,0.0
AKT3,-0.00027643685695623023,0.0
AKTIP,-0.0075016878787364134,0.0
ALAD,-0.006907089299659862,0.0
ALAS1,-0.001399126235192437,0.0
ALAS2,0.0017134541692916893,0.0
ALB,-0.004741427414145122,0.0
ALCAM,-0.005069663563491511,0.0
ALDH18A1,0.011030557027464744,0.0
ALDH1A1,-0.013986405528885245,0.0
ALDH1A2,0.0007251356540728032,0.0
ALDH1A3,0.04964437194589978,0.092915
ALDH1B1,0.006560130580472267,0.0
ALDH1L1,-0.003215532749754752,0.0
ALDH2,-0.013494169068233034,0.0
ALDH3A1,0.0003893944394622297,0.0
ALDH3A2,-6.5534910237371086e-06,0.0
ALDH3B1,-0.0046901884748414115,0.0
ALDH3B2,-0.006922404957089535,0.0
ALDH4A1,0.014429210681405761,0.0
ALDH5A1,-0.007959055606228015,0.0
ALDH6A1,0.01413785649229045,0.0
ALDH7A1,-0.0064619947967449005,0.0
ALDH8A1,0.002409480546739288,0.0
ALDH9A1,-0.008112705583137059,0.0
ALDOA,0.024510331610890515,0.0
ALDOB,-0.002075449363621137,0.0
ALDOC,0.006383617320026081,0.0
ALG12,0.005330393966763629,0.0
ALG13,-0.004193115959829622,0.0
ALG3,0.008459232596628697,0.0
ALG5,0.009305271162138532,0.0
ALG6,-0.0004347301254071955,0.0
ALG8,0.01801390467688763,0.0
ALK,-8.489189588759542e-05,0.0
ALKBH1,0.003068006044010814,0.0
ALKBH4,-0.002262641795629992,0.0
ALLC,-0.00021320781481252827,0.0
ALMS1,-0.0011837140414626044,0.0
ALOX12,0.00033821293010611296,0.0
ALOX12B,-0.0012408860307501638,0.0
ALOX15,-0.000854144360004136,0.0
ALOX15B,-0.0020610623533469504,0.0
ALOX5,0.002663207200545499,0.0
ALOX5AP,0.0030824260711739076,0.0
ALOXE3,-0.00042871365877146175,0.0
ALPI,-0.0009565067339700467,0.0
ALPK1,0.0034396279428992385,0.0
ALPK3,0.0015007911181016955,0.0
ALPL,0.003569491582008088,0.0
ALPP,-0.0003301250284461036,0.0
ALPPL2,-0.000926306586378953,0.0
ALS2CL,-0.005972053661326893,0.0
ALX1,-0.0014547594285640748,0.0
ALX3,-0.005475345566733225,0.0
ALX4,-0.0022301882791968147,0.0
AMACR,0.004089573198567732,0.0
AMBN,0.0018478655198425414,0.0
AMBP,0.0024978995405009175,0.0
AMBRA1,-0.0018969695234437173,0.0
AMD1,0.018648280952633146,0.0
AMDHD2,0.0043313179367707845,0.0
AMELX,-0.0012311756874825823,0.0
AMELY,-0.0009402473409502233,0.0
